Time[ms];"IL.FB([Axis1] Current feedback)[Arms]";"VL.CMD([Axis1] Velocity command)[mm/s]";"VL.FB([Axis1] Velocity feedback)[mm/s]";"PL.ERR([Axis1] Position error)[mm]";"PL.FB([Axis1] Position feedback)[mm]";"IL.BUSFF([Axis1] External feed-forward)[Arms]";;;;#ParentName;#Name;#Type;#Value
168,75;0,345;-0,81;-0,114;-0,162;14,162;0;;;;;;;
169,375;0,294;-0,812;2,387;-0,162;14,164;0;;;;;;;
170;0,353;-0,833;8,168;-0,166;14,169;0;;;;;;;
170,625;0,273;-0,865;3,645;-0,173;14,172;0;;;;;;;
171,25;0,322;-0,854;-4,93;-0,17;14,168;0;;;;;;;
171,875;0,308;-0,817;-14,869;-0,163;14,16;0;;;;;;;
172,5;0,326;-0,815;2,608;-0,163;14,162;0;;;;;;;
173,125;0,369;-0,808;0,407;-0,161;14,161;0;;;;;;;
173,75;0,315;-0,812;0,477;-0,162;14,161;0;;;;;;;
174,375;0,358;-0,811;0,977;-0,162;14,161;0;;;;;;;
175;0,293;-0,812;0,829;-0,162;14,163;0;;;;;;;
175,625;0,341;-0,819;3,618;-0,163;14,164;0;;;;;;;
176,25;0,31;-0,817;-0,966;-0,163;14,163;0;;;;;;;
176,875;0,296;-0,813;-1,769;-0,162;14,163;0;;;;;;;
177,5;0,344;-0,815;0,765;-0,163;14,161;0;;;;;;;
178,125;0,292;-0,814;1,257;-0,162;14,164;0;;;;;;;
178,75;0,349;-0,822;-0,221;-0,164;14,161;0;;;;;;;
179,375;0,294;-0,813;-0,478;-0,162;14,163;0;;;;;;;
180;0,327;-0,817;0,093;-0,163;14,162;0;;;;;;;
180,625;0,318;-0,819;0,748;-0,163;14,162;0;;;;;;;
181,25;0,283;-0,815;-0,118;-0,163;14,163;0;;;;;;;
181,875;0,331;-0,818;0,344;-0,163;14,163;0;;;;;;;
182,5;0,279;-0,813;-0,716;-0,162;14,163;0;;;;;;;
183,125;0,341;-0,813;-1,453;-0,162;14,162;0;;;;;;;
183,75;0,292;-0,812;1,145;-0,162;14,163;0;;;;;;;
184,375;0,31;-0,816;-0,111;-0,163;14,163;0;;;;;;;
185;0,307;-0,812;-0,219;-0,162;14,163;0;;;;;;;
185,625;0,279;-0,812;-0,401;-0,162;14,164;0;;;;;;;
186,25;0,332;-0,82;-0,617;-0,164;14,162;0;;;;;;;
186,875;0,284;-0,815;-0,197;-0,163;14,164;0;;;;;;;
187,5;0,334;-0,819;-0,424;-0,164;14,162;0;;;;;;;
188,125;0,285;-0,816;0,987;-0,163;14,164;0;;;;;;;
188,75;0,296;-0,818;0,103;-0,163;14,164;0;;;;;;;
189,375;0,316;-0,821;0,236;-0,164;14,163;0;;;;;;;
190;0,27;-0,818;0,157;-0,163;14,164;0;;;;;;;
190,625;0,327;-0,82;1,216;-0,164;14,163;0;;;;;;;
191,25;0,269;-0,816;0,183;-0,163;14,163;0;;;;;;;
191,875;0,33;-0,811;-0,856;-0,162;14,162;0;;;;;;;
192,5;0,297;-0,812;0,083;-0,162;14,162;0;;;;;;;
193,125;0,292;-0,816;0,772;-0,163;14,163;0;;;;;;;
193,75;0,313;-0,815;1,355;-0,163;14,163;0;;;;;;;
194,375;0,266;-0,813;1,988;-0,162;14,164;0;;;;;;;
195;0,323;-0,82;0,199;-0,164;14,163;0;;;;;;;
195,625;0,266;-0,819;-0,949;-0,163;14,163;0;;;;;;;
196,25;0,31;-0,822;-0,077;-0,164;14,163;0;;;;;;;
196,875;0,29;-0,817;-0,115;-0,163;14,163;0;;;;;;;
197,5;0,279;-0,821;2,479;-0,164;14,164;0;;;;;;;
198,125;0,31;-0,821;0,375;-0,164;14,164;0;;;;;;;
198,75;0,252;-0,824;0,645;-0,165;14,164;0;;;;;;;
199,375;0,307;-0,819;-2,603;-0,164;14,162;0;;;;;;;
200;0,262;-0,807;-0,591;-0,161;14,162;0;;;;;;;
200,625;0,3;-0,815;-0,238;-0,163;14,163;0;;;;;;;
201,25;0,278;-0,818;0,551;-0,163;14,163;0;;;;;;;
201,875;0,263;-0,814;1,236;-0,162;14,165;0;;;;;;;
202,5;0,31;-0,82;0,598;-0,164;14,164;0;;;;;;;
203,125;0,247;-0,822;1,689;-0,164;14,165;0;;;;;;;
203,75;0,303;-0,825;-0,448;-0,165;14,163;0;;;;;;;
204,375;0,249;-0,82;-0,119;-0,164;14,163;0;;;;;;;
205;0,289;-0,823;0,955;-0,164;14,164;0;;;;;;;
205,625;0,277;-0,825;0,17;-0,165;14,163;0;;;;;;;
206,25;0,25;-0,818;-0,487;-0,163;14,164;0;;;;;;;
206,875;0,3;-0,819;-1,145;-0,163;14,163;0;;;;;;;
207,5;0,247;-0,818;0,558;-0,163;14,164;0;;;;;;;
208,125;0,305;-0,82;-0,289;-0,164;14,163;0;;;;;;;
208,75;0,259;-0,818;0,854;-0,163;14,164;0;;;;;;;
209,375;0,276;-0,82;-0,579;-0,164;14,164;0;;;;;;;
210;0,278;-0,817;-0,723;-0,163;14,163;0;;;;;;;
210,625;0,248;-0,817;1,153;-0,163;14,164;0;;;;;;;
211,25;0,288;-0,822;0,906;-0,164;14,164;0;;;;;;;
211,875;0,242;-0,819;-0,357;-0,164;14,164;0;;;;;;;
212,5;0,297;-0,821;-0,917;-0,164;14,164;0;;;;;;;
213,125;0,27;-0,817;-0,09;-0,163;14,163;0;;;;;;;
213,75;0,264;-0,821;1,295;-0,164;14,164;0;;;;;;;
214,375;0,289;-0,821;-0,505;-0,164;14,163;0;;;;;;;
215;0,239;-0,821;0,112;-0,164;14,165;0;;;;;;;
215,625;0,292;-0,82;-0,14;-0,164;14,163;0;;;;;;;
